model,n_clusters,noise_points,silhouette_score,davies_bouldin_score,calinski_harabasz_score
KMeans_k2,2,0,0.3172506885078193,1.3099009820619876,16382.248661940377
Agglomerative_k2,2,0,0.30293075946738485,1.3453193341340084,15125.443543471461
KMeans_k3,3,0,0.29950990368343217,1.5214350477095404,12241.679745265972
Agglomerative_k3,3,0,0.2892157676091432,1.707267534768892,11192.649168890784
KMeans_k4,4,0,0.27893739444070187,1.340761900241366,11232.913899657427
Agglomerative_k4,4,0,0.24321124007242273,1.5947779014177679,9871.097368786674
KMeans_k5,5,0,0.2874339111683437,1.2631609935453185,11312.210915191832
Agglomerative_k5,5,0,0.24571332756197642,1.396067615131566,9626.958450214717
KMeans_k6,6,0,0.26310051111417143,1.3632280135565795,10263.521951486046
Agglomerative_k6,6,0,0.2148357412219952,1.5067803524328829,8642.777725645554
KMeans_k7,7,0,0.24466552098764596,1.4298022157905648,9376.318636421483
Agglomerative_k7,7,0,0.20208142723130296,1.458727359261721,7802.693717191155
KMeans_k8,8,0,0.22820790909250746,1.4332896038693348,8713.204559273836
Agglomerative_k8,8,0,0.19084331923832995,1.5358296276940124,7198.707093280984
DBSCAN_eps0.9_min5,41,921,-0.001797848377879903,1.0916696027083452,799.5539456572321
