cluster_label,source_row_index,source_material_id,source_formula_pretty_x,neighbor_row_index,neighbor_material_id,neighbor_formula_pretty,similarity_distance,similarity_rank_within_source,similarity_distance_percentile,similarity_level,source_formula_pretty_y,source_cost,source_unit,source_year,source_cost_class,source_cost_rank_within_cluster,neighbor_formula_pretty_verified,neighbor_cost,neighbor_unit,neighbor_year,neighbor_cost_class,neighbor_cost_rank_within_cluster,cost_difference,cost_saving,is_lower_cost_alternative
4,7502,mp-1018029,CuPd,33310,mp-6938,ZnRh,0.3065045302945258,1,0.2,high_similarity,CuPd,9947.305,($/mt),2025.0,medium_cost,8,ZnRh,2867.52833333333,($/mt),2025.0,medium_cost,6,-7079.77666666667,7079.77666666667,True
1,22128,mp-1025039,PbS2,187,mp-23231,AgBr,0.4899298777185318,1,0.2,high_similarity,PbS2,1962.235,($/mt),2025.0,low_cost,4,AgBr,39.80466666667,($/troy oz),2025.0,low_cost,1,-1922.4303333333298,1922.4303333333298,True
4,33091,mp-1047156,Zn(CuO2)2,88,mp-4691,Ag2CO3,0.3031947846020064,2,0.4,moderate_similarity,Zn(CuO2)2,2867.52833333333,($/mt),2025.0,medium_cost,6,Ag2CO3,39.80466666667,($/troy oz),2025.0,low_cost,1,-2827.72366666666,2827.72366666666,True
3,21592,mp-1070761,Ni(BW)2,33088,mp-28786,Zn(BIr)2,0.2198489572885395,2,0.4,moderate_similarity,Ni(BW)2,15162.1583333333,($/mt),2025.0,high_cost,9,Zn(BIr)2,2867.52833333333,($/mt),2025.0,medium_cost,6,-12294.62999999997,12294.62999999997,True
4,21675,mp-1078540,Ni6Ge2B,500,mp-1228832,AlNi6Ge,0.1283421560526299,3,0.6,moderate_similarity,Ni6Ge2B,15162.1583333333,($/mt),2025.0,high_cost,9,AlNi6Ge,2631.69583333333,($/mt),2025.0,low_cost,5,-12530.46249999997,12530.46249999997,True
3,521,mp-10909,AlRe2,21995,mp-2082,PIr2,0.2568114896247694,1,0.2,high_similarity,AlRe2,2631.69583333333,($/mt),2025.0,low_cost,5,PIr2,152.5,($/mt),2025.0,low_cost,2,-2479.19583333333,2479.19583333333,True
4,324,mp-10910,Al2Ru,21913,mp-1413,P2Ru,0.3174522099481093,1,0.2,high_similarity,Al2Ru,2631.69583333333,($/mt),2025.0,low_cost,5,P2Ru,152.5,($/mt),2025.0,low_cost,2,-2479.19583333333,2479.19583333333,True
4,324,mp-10910,Al2Ru,21911,mp-15953,P2Rh,0.40648535095327,2,0.4,moderate_similarity,Al2Ru,2631.69583333333,($/mt),2025.0,low_cost,5,P2Rh,152.5,($/mt),2025.0,low_cost,2,-2479.19583333333,2479.19583333333,True
2,21587,mp-1096784,Ni(AsO2)2,33322,mp-18373,ZnSe2O5,0.3115774055830888,2,0.4,moderate_similarity,Ni(AsO2)2,15162.1583333333,($/mt),2025.0,high_cost,9,ZnSe2O5,2867.52833333333,($/mt),2025.0,medium_cost,6,-12294.62999999997,12294.62999999997,True
4,21594,mp-1101457,Ni(BiO3)2,144,mp-554357,Ag4TeO5,0.6252827435265131,3,0.6,moderate_similarity,Ni(BiO3)2,15162.1583333333,($/mt),2025.0,high_cost,9,Ag4TeO5,39.80466666667,($/troy oz),2025.0,low_cost,1,-15122.35366666663,15122.35366666663,True
3,21593,mp-1104181,Ni(BW)3,7371,mp-1225826,Cu2B3Ir4,0.3619050353634651,2,0.4,moderate_similarity,Ni(BW)3,15162.1583333333,($/mt),2025.0,high_cost,9,Cu2B3Ir4,9947.305,($/mt),2025.0,high_cost,8,-5214.8533333333,5214.8533333333,True
3,7405,mp-1105186,Cu3B5Pt9,33223,mp-579677,ZnB3Ir4,0.2082778774780149,1,0.2,high_similarity,Cu3B5Pt9,9947.305,($/mt),2025.0,high_cost,8,ZnB3Ir4,2867.52833333333,($/mt),2025.0,medium_cost,6,-7079.77666666667,7079.77666666667,True
3,7405,mp-1105186,Cu3B5Pt9,33207,mp-1215752,Zn6B5Ir11,0.2833070045787567,2,0.4,moderate_similarity,Cu3B5Pt9,9947.305,($/mt),2025.0,high_cost,8,Zn6B5Ir11,2867.52833333333,($/mt),2025.0,medium_cost,6,-7079.77666666667,7079.77666666667,True
1,26832,mp-1170,SnS2,404,mp-2172,AlAs,0.420471498984067,1,0.2,high_similarity,SnS2,34058.8358333333,($/mt),2025.0,high_cost,10,AlAs,2631.69583333333,($/mt),2025.0,medium_cost,5,-31427.13999999997,31427.13999999997,True
0,21707,mp-1180537,NiH12(ClO6)2,21923,mp-759344,P3H30N7O12,0.6189382813464878,3,0.6,moderate_similarity,NiH12(ClO6)2,15162.1583333333,($/mt),2025.0,high_cost,8,P3H30N7O12,152.5,($/mt),2025.0,low_cost,2,-15009.6583333333,15009.6583333333,True
4,21734,mp-1186117,NiPt3,33308,mp-30856,ZnPt3,0.3073705983177529,3,0.6,moderate_similarity,NiPt3,15162.1583333333,($/mt),2025.0,high_cost,9,ZnPt3,2867.52833333333,($/mt),2025.0,medium_cost,6,-12294.62999999997,12294.62999999997,True
1,33139,mp-1188466,Zn2IN,22007,mp-3123,PPdSe,0.6377585654414971,3,0.6,moderate_similarity,Zn2IN,2867.52833333333,($/mt),2025.0,medium_cost,6,PPdSe,152.5,($/mt),2025.0,low_cost,2,-2715.02833333333,2715.02833333333,True
1,33325,mp-1189914,ZnSi(AgS2)2,182,mp-556434,AgBi(PS3)2,0.6384463260174581,2,0.4,moderate_similarity,ZnSi(AgS2)2,2867.52833333333,($/mt),2025.0,medium_cost,6,AgBi(PS3)2,39.80466666667,($/troy oz),2025.0,low_cost,1,-2827.72366666666,2827.72366666666,True
1,33320,mp-1190,ZnSe,187,mp-23231,AgBr,0.5845071122866196,1,0.2,high_similarity,ZnSe,2867.52833333333,($/mt),2025.0,medium_cost,6,AgBr,39.80466666667,($/troy oz),2025.0,low_cost,1,-2827.72366666666,2827.72366666666,True
1,7438,mp-1190563,Cu6Hg3(SbS3)4,138,mp-17568,Ag3Sn2(GeP2)3,0.452787945034769,2,0.4,moderate_similarity,Cu6Hg3(SbS3)4,9947.305,($/mt),2025.0,high_cost,8,Ag3Sn2(GeP2)3,39.80466666667,($/troy oz),2025.0,low_cost,1,-9907.50033333333,9907.50033333333,True
1,7480,mp-1192231,CuIO4,668,mp-559824,Au2Se3O10,0.5127314716520518,2,0.4,moderate_similarity,CuIO4,9947.305,($/mt),2025.0,high_cost,8,Au2Se3O10,3441.50583333333,($/troy oz),2025.0,high_cost,7,-6505.79916666667,6505.79916666667,True
3,21679,mp-1194082,Ni6W6C,33207,mp-1215752,Zn6B5Ir11,0.3188955426411236,1,0.2,high_similarity,Ni6W6C,15162.1583333333,($/mt),2025.0,high_cost,9,Zn6B5Ir11,2867.52833333333,($/mt),2025.0,medium_cost,6,-12294.62999999997,12294.62999999997,True
