material_id,formula_pretty,formula_match_key,elements,elements_list,material_family_key,material_family_match_key,is_stable,is_metal,symmetry,cluster_label,elements_parsed,formula_elements_ordered,primary_element_symbol,primary_element_name,single_element_name,candidate_price_keys,price_match_key,price_material,cost,unit,year,match_type,match_confidence,cluster_cost_percentile,cost_rank_within_cluster,cost_class_within_cluster
mp-567334,Ag(BCl)6,ag_bcl_6,"['Ag', 'B', 'Cl']","['Ag', 'B', 'Cl']",Ag_B_Cl,ag_b_cl,True,False,Cubic,0,"['Ag', 'B', 'Cl']","['Ag', 'B', 'Cl']",Ag,silver,,['silver'],silver,Silver,39.80466666667,($/troy oz),2025.0,primary_element_proxy,medium,0.05859375,1,low_cost
mp-568392,Ag10Te4Br3,ag10te4br3,"['Ag', 'Br', 'Te']","['Ag', 'Br', 'Te']",Ag_Br_Te,ag_br_te,True,False,Orthorhombic,0,"['Ag', 'Br', 'Te']","['Ag', 'Te', 'Br']",Ag,silver,,['silver'],silver,Silver,39.80466666667,($/troy oz),2025.0,primary_element_proxy,medium,0.05859375,1,low_cost
mp-1195193,Ag12Sn7H16(Se11N2)2,ag12sn7h16_se11n2_2,"['Ag', 'H', 'N', 'Se', 'Sn']","['Ag', 'H', 'N', 'Se', 'Sn']",Ag_H_N_Se_Sn,ag_h_n_se_sn,True,False,Monoclinic,0,"['Ag', 'H', 'N', 'Se', 'Sn']","['Ag', 'Sn', 'H', 'Se', 'N']",Ag,silver,,"['silver', 'tin']",silver,Silver,39.80466666667,($/troy oz),2025.0,primary_element_proxy,medium,0.05859375,1,low_cost
mp-560328,Ag15P4S16Cl3,ag15p4s16cl3,"['Ag', 'Cl', 'P', 'S']","['Ag', 'Cl', 'P', 'S']",Ag_Cl_P_S,ag_cl_p_s,True,False,Cubic,0,"['Ag', 'Cl', 'P', 'S']","['Ag', 'P', 'S', 'Cl']",Ag,silver,,"['silver', 'phosphate_rock']",silver,Silver,39.80466666667,($/troy oz),2025.0,primary_element_proxy,medium,0.05859375,1,low_cost
mp-1196546,Ag2Ge(S2O7)3,ag2ge_s2o7_3,"['Ag', 'Ge', 'O', 'S']","['Ag', 'Ge', 'O', 'S']",Ag_Ge_O_S,ag_ge_o_s,True,False,Trigonal,0,"['Ag', 'Ge', 'O', 'S']","['Ag', 'Ge', 'S', 'O']",Ag,silver,,['silver'],silver,Silver,39.80466666667,($/troy oz),2025.0,primary_element_proxy,medium,0.05859375,1,low_cost
mp-860963,Ag2H4(SO4)3,ag2h4_so4_3,"['Ag', 'H', 'O', 'S']","['Ag', 'H', 'O', 'S']",Ag_H_O_S,ag_h_o_s,True,False,Orthorhombic,0,"['Ag', 'H', 'O', 'S']","['Ag', 'H', 'S', 'O']",Ag,silver,,['silver'],silver,Silver,39.80466666667,($/troy oz),2025.0,primary_element_proxy,medium,0.05859375,1,low_cost
mp-1197599,Ag2Sn(S2O7)3,ag2sn_s2o7_3,"['Ag', 'O', 'S', 'Sn']","['Ag', 'O', 'S', 'Sn']",Ag_O_S_Sn,ag_o_s_sn,True,False,Trigonal,0,"['Ag', 'O', 'S', 'Sn']","['Ag', 'Sn', 'S', 'O']",Ag,silver,,"['silver', 'tin']",silver,Silver,39.80466666667,($/troy oz),2025.0,primary_element_proxy,medium,0.05859375,1,low_cost
mp-662599,Ag3AsSe3,ag3asse3,"['Ag', 'As', 'Se']","['Ag', 'As', 'Se']",Ag_As_Se,ag_as_se,True,False,Orthorhombic,0,"['Ag', 'As', 'Se']","['Ag', 'As', 'Se']",Ag,silver,,['silver'],silver,Silver,39.80466666667,($/troy oz),2025.0,primary_element_proxy,medium,0.05859375,1,low_cost
mp-1201018,Ag3S4(O3F)4,ag3s4_o3f_4,"['Ag', 'F', 'O', 'S']","['Ag', 'F', 'O', 'S']",Ag_F_O_S,ag_f_o_s,True,True,Monoclinic,0,"['Ag', 'F', 'O', 'S']","['Ag', 'S', 'O', 'F']",Ag,silver,,['silver'],silver,Silver,39.80466666667,($/troy oz),2025.0,primary_element_proxy,medium,0.05859375,1,low_cost
mp-558550,Ag4Mo2Se3O16,ag4mo2se3o16,"['Ag', 'Mo', 'O', 'Se']","['Ag', 'Mo', 'O', 'Se']",Ag_Mo_O_Se,ag_mo_o_se,True,False,Orthorhombic,0,"['Ag', 'Mo', 'O', 'Se']","['Ag', 'Mo', 'Se', 'O']",Ag,silver,,['silver'],silver,Silver,39.80466666667,($/troy oz),2025.0,primary_element_proxy,medium,0.05859375,1,low_cost
