cluster_label,source_row_index,source_material_id,source_formula_pretty_x,neighbor_row_index,neighbor_material_id,neighbor_formula_pretty,similarity_distance,similarity_rank_within_source,similarity_distance_percentile,similarity_level,source_formula_pretty_y,source_cost,source_unit,source_year,source_cost_class,source_cost_rank_within_cluster,neighbor_formula_pretty_verified,neighbor_cost,neighbor_unit,neighbor_year,neighbor_cost_class,neighbor_cost_rank_within_cluster,cost_difference,cost_saving,is_lower_cost_alternative,case_name,cpv_code,english_title,material_context
3,26760,mp-1194504,Sn3Ir2Se3,140,mp-5710,Ag3Te2Au,0.6309420404020966,1,0.2,high_similarity,Sn3Ir2Se3,34058.8358333333,($/mt),2025.0,high_cost,10,Ag3Te2Au,39.80466666667,($/troy oz),2025.0,low_cost,1,-34019.03116666663,34019.03116666663,True,Copper-Core PVC Power Cables,31320000,"Underground cables, copper core, 0.6/1 kV - PVC insulation and sheath",Electrical supply case focused on copper-core power cables with PVC insulation. This gives a clear conductor material and insulation context for comparing candidate alternatives.
3,21679,mp-1194082,Ni6W6C,33207,mp-1215752,Zn6B5Ir11,0.3188955426411236,1,0.2,high_similarity,Ni6W6C,15162.1583333333,($/mt),2025.0,high_cost,9,Zn6B5Ir11,2867.52833333333,($/mt),2025.0,medium_cost,6,-12294.62999999997,12294.62999999997,True,Copper-Core PVC Power Cables,31320000,"Underground cables, copper core, 0.6/1 kV - PVC insulation and sheath",Electrical supply case focused on copper-core power cables with PVC insulation. This gives a clear conductor material and insulation context for comparing candidate alternatives.
3,7405,mp-1105186,Cu3B5Pt9,33223,mp-579677,ZnB3Ir4,0.2082778774780149,1,0.2,high_similarity,Cu3B5Pt9,9947.305,($/mt),2025.0,high_cost,8,ZnB3Ir4,2867.52833333333,($/mt),2025.0,medium_cost,6,-7079.77666666667,7079.77666666667,True,Copper-Core PVC Power Cables,31320000,"Underground cables, copper core, 0.6/1 kV - PVC insulation and sheath",Electrical supply case focused on copper-core power cables with PVC insulation. This gives a clear conductor material and insulation context for comparing candidate alternatives.
3,7505,mp-644311,CuPt,33281,mp-1206819,ZnIr,0.1393162013465165,1,0.2,high_similarity,CuPt,9947.305,($/mt),2025.0,high_cost,8,ZnIr,2867.52833333333,($/mt),2025.0,medium_cost,6,-7079.77666666667,7079.77666666667,True,Copper-Core PVC Power Cables,31320000,"Underground cables, copper core, 0.6/1 kV - PVC insulation and sheath",Electrical supply case focused on copper-core power cables with PVC insulation. This gives a clear conductor material and insulation context for comparing candidate alternatives.
3,21666,mp-30811,Ni4W,7422,mp-12086,Cu3Pt,0.3054330658202146,1,0.2,high_similarity,Ni4W,15162.1583333333,($/mt),2025.0,high_cost,9,Cu3Pt,9947.305,($/mt),2025.0,high_cost,8,-5214.8533333333,5214.8533333333,True,Copper-Core PVC Power Cables,31320000,"Underground cables, copper core, 0.6/1 kV - PVC insulation and sheath",Electrical supply case focused on copper-core power cables with PVC insulation. This gives a clear conductor material and insulation context for comparing candidate alternatives.
3,521,mp-10909,AlRe2,21995,mp-2082,PIr2,0.2568114896247694,1,0.2,high_similarity,AlRe2,2631.69583333333,($/mt),2025.0,low_cost,5,PIr2,152.5,($/mt),2025.0,low_cost,2,-2479.19583333333,2479.19583333333,True,Copper-Core PVC Power Cables,31320000,"Underground cables, copper core, 0.6/1 kV - PVC insulation and sheath",Electrical supply case focused on copper-core power cables with PVC insulation. This gives a clear conductor material and insulation context for comparing candidate alternatives.
3,520,mp-1228815,AlRe,22016,mp-2420,PW,0.2258021419237433,1,0.2,high_similarity,AlRe,2631.69583333333,($/mt),2025.0,low_cost,5,PW,152.5,($/mt),2025.0,low_cost,2,-2479.19583333333,2479.19583333333,True,Copper-Core PVC Power Cables,31320000,"Underground cables, copper core, 0.6/1 kV - PVC insulation and sheath",Electrical supply case focused on copper-core power cables with PVC insulation. This gives a clear conductor material and insulation context for comparing candidate alternatives.
3,315,mp-7188,Al2Os,21895,mp-2319,P2Os,0.4217388812421799,1,0.2,high_similarity,Al2Os,2631.69583333333,($/mt),2025.0,low_cost,5,P2Os,152.5,($/mt),2025.0,low_cost,2,-2479.19583333333,2479.19583333333,True,Copper-Core PVC Power Cables,31320000,"Underground cables, copper core, 0.6/1 kV - PVC insulation and sheath",Electrical supply case focused on copper-core power cables with PVC insulation. This gives a clear conductor material and insulation context for comparing candidate alternatives.
3,21592,mp-1070761,Ni(BW)2,33088,mp-28786,Zn(BIr)2,0.2198489572885395,2,0.4,moderate_similarity,Ni(BW)2,15162.1583333333,($/mt),2025.0,high_cost,9,Zn(BIr)2,2867.52833333333,($/mt),2025.0,medium_cost,6,-12294.62999999997,12294.62999999997,True,Copper-Core PVC Power Cables,31320000,"Underground cables, copper core, 0.6/1 kV - PVC insulation and sheath",Electrical supply case focused on copper-core power cables with PVC insulation. This gives a clear conductor material and insulation context for comparing candidate alternatives.
3,21679,mp-1194082,Ni6W6C,33202,mp-1238725,Zn5B3Ir7,0.3409465990517444,2,0.4,moderate_similarity,Ni6W6C,15162.1583333333,($/mt),2025.0,high_cost,9,Zn5B3Ir7,2867.52833333333,($/mt),2025.0,medium_cost,6,-12294.62999999997,12294.62999999997,True,Copper-Core PVC Power Cables,31320000,"Underground cables, copper core, 0.6/1 kV - PVC insulation and sheath",Electrical supply case focused on copper-core power cables with PVC insulation. This gives a clear conductor material and insulation context for comparing candidate alternatives.
4,26814,mp-3245,SnP7Au3,7360,mp-28888,Cu(PtS2)2,0.6004730583252665,1,0.2,high_similarity,SnP7Au3,34058.8358333333,($/mt),2025.0,high_cost,10,Cu(PtS2)2,9947.305,($/mt),2025.0,medium_cost,8,-24111.5308333333,24111.5308333333,True,Copper-Core PVC Power Cables,31320000,"Underground cables, copper core, 0.6/1 kV - PVC insulation and sheath",Electrical supply case focused on copper-core power cables with PVC insulation. This gives a clear conductor material and insulation context for comparing candidate alternatives.
4,21756,mp-1220014,NiTeO4,233,mp-540872,AgSbO3,0.4368564720464881,1,0.2,high_similarity,NiTeO4,15162.1583333333,($/mt),2025.0,high_cost,9,AgSbO3,39.80466666667,($/troy oz),2025.0,low_cost,1,-15122.35366666663,15122.35366666663,True,Copper-Core PVC Power Cables,31320000,"Underground cables, copper core, 0.6/1 kV - PVC insulation and sheath",Electrical supply case focused on copper-core power cables with PVC insulation. This gives a clear conductor material and insulation context for comparing candidate alternatives.
4,21589,mp-22552,Ni(AuF4)2,219,mp-1214922,AgPtF6,0.3154046759770667,1,0.2,high_similarity,Ni(AuF4)2,15162.1583333333,($/mt),2025.0,high_cost,9,AgPtF6,39.80466666667,($/troy oz),2025.0,low_cost,1,-15122.35366666663,15122.35366666663,True,Copper-Core PVC Power Cables,31320000,"Underground cables, copper core, 0.6/1 kV - PVC insulation and sheath",Electrical supply case focused on copper-core power cables with PVC insulation. This gives a clear conductor material and insulation context for comparing candidate alternatives.
4,21676,mp-1219800,Ni6Ge2P,500,mp-1228832,AlNi6Ge,0.1104762972086828,1,0.2,high_similarity,Ni6Ge2P,15162.1583333333,($/mt),2025.0,high_cost,9,AlNi6Ge,2631.69583333333,($/mt),2025.0,low_cost,5,-12530.46249999997,12530.46249999997,True,Copper-Core PVC Power Cables,31320000,"Underground cables, copper core, 0.6/1 kV - PVC insulation and sheath",Electrical supply case focused on copper-core power cables with PVC insulation. This gives a clear conductor material and insulation context for comparing candidate alternatives.
4,21723,mp-2301,NiP3,387,mp-16529,Al6Ru,0.1582976192941713,1,0.2,high_similarity,NiP3,15162.1583333333,($/mt),2025.0,high_cost,9,Al6Ru,2631.69583333333,($/mt),2025.0,low_cost,5,-12530.46249999997,12530.46249999997,True,Copper-Core PVC Power Cables,31320000,"Underground cables, copper core, 0.6/1 kV - PVC insulation and sheath",Electrical supply case focused on copper-core power cables with PVC insulation. This gives a clear conductor material and insulation context for comparing candidate alternatives.
4,21691,mp-997095,NiAuO2,296,mp-866031,Al2FeIr,0.3433991981035121,1,0.2,high_similarity,NiAuO2,15162.1583333333,($/mt),2025.0,high_cost,9,Al2FeIr,2631.69583333333,($/mt),2025.0,low_cost,5,-12530.46249999997,12530.46249999997,True,Copper-Core PVC Power Cables,31320000,"Underground cables, copper core, 0.6/1 kV - PVC insulation and sheath",Electrical supply case focused on copper-core power cables with PVC insulation. This gives a clear conductor material and insulation context for comparing candidate alternatives.
4,7503,mp-1213075,CuPdF6,222,mp-2017405,AgRhF6,0.2469357377376624,1,0.2,high_similarity,CuPdF6,9947.305,($/mt),2025.0,medium_cost,8,AgRhF6,39.80466666667,($/troy oz),2025.0,low_cost,1,-9907.50033333333,9907.50033333333,True,Copper-Core PVC Power Cables,31320000,"Underground cables, copper core, 0.6/1 kV - PVC insulation and sheath",Electrical supply case focused on copper-core power cables with PVC insulation. This gives a clear conductor material and insulation context for comparing candidate alternatives.
4,7356,mp-556582,Cu(IO3)2,112,mp-11641,Ag2SeO4,0.2383782082737036,1,0.2,high_similarity,Cu(IO3)2,9947.305,($/mt),2025.0,medium_cost,8,Ag2SeO4,39.80466666667,($/troy oz),2025.0,low_cost,1,-9907.50033333333,9907.50033333333,True,Copper-Core PVC Power Cables,31320000,"Underground cables, copper core, 0.6/1 kV - PVC insulation and sheath",Electrical supply case focused on copper-core power cables with PVC insulation. This gives a clear conductor material and insulation context for comparing candidate alternatives.
4,7439,mp-559633,Cu6PbO8,224,mp-761035,AgRuO4,0.175741571676811,1,0.2,high_similarity,Cu6PbO8,9947.305,($/mt),2025.0,medium_cost,8,AgRuO4,39.80466666667,($/troy oz),2025.0,low_cost,1,-9907.50033333333,9907.50033333333,True,Copper-Core PVC Power Cables,31320000,"Underground cables, copper core, 0.6/1 kV - PVC insulation and sheath",Electrical supply case focused on copper-core power cables with PVC insulation. This gives a clear conductor material and insulation context for comparing candidate alternatives.
4,7511,mp-555599,CuS,380,mp-568607,Al5Mo,0.2862273530153329,1,0.2,high_similarity,CuS,9947.305,($/mt),2025.0,medium_cost,8,Al5Mo,2631.69583333333,($/mt),2025.0,low_cost,5,-7315.609166666671,7315.609166666671,True,Copper-Core PVC Power Cables,31320000,"Underground cables, copper core, 0.6/1 kV - PVC insulation and sheath",Electrical supply case focused on copper-core power cables with PVC insulation. This gives a clear conductor material and insulation context for comparing candidate alternatives.
